exercise_id,body_area,name_en,name_ar,purpose_en,purpose_ar,steps_en,steps_ar,dosage_en,dosage_ar,safety_en,safety_ar,suits_sex,suits_age_bands,media_still_id,media_clip_id,status,reviewed_by,reviewed_on
lb_ex_pelvic_tilt,lower_back,Pelvic Tilt,إمالة الحوض,"A gentle way to start moving the lower back through a small, controlled range.",طريقة لطيفة لبدء تحريك أسفل الظهر ضمن مدى صغير ومضبوط.,"Lie on your back with your knees bent and feet flat on the floor.|Gently flatten your lower back towards the floor.|Hold, then release back to a comfortable resting position.",استلقِ على ظهرك مع ثني الركبتين ووضع القدمين على الأرض.|اضغط أسفل ظهرك برفق نحو الأرض.|اثبت، ثم عد إلى وضع الراحة المريح.,"10 repetitions, hold 5 seconds. Twice a day.",١٠ تكرارات، ثبات ٥ ثوانٍ. مرتين يومياً.,Stop if this increases your pain or causes symptoms down your leg.,توقف إذا زاد هذا من ألمك أو سبب أعراضاً في ساقك.,,,,,published,PLACEHOLDER,2026-09-06
lb_ex_knee_to_chest,lower_back,Single Knee to Chest,سحب الركبة إلى الصدر,Eases the lower back into flexion one side at a time.,يساعد أسفل الظهر على الانثناء تدريجياً جانباً واحداً في كل مرة.,"Lie on your back with both knees bent.|Draw one knee gently towards your chest with both hands.|Hold, lower slowly, then repeat on the other side.",استلقِ على ظهرك مع ثني الركبتين.|اسحب إحدى الركبتين برفق نحو صدرك بكلتا اليدين.|اثبت، ثم أنزلها ببطء وكرر مع الجانب الآخر.,"Hold 20 seconds, 3 times each side. Once a day.",ثبات ٢٠ ثانية، ٣ مرات لكل جانب. مرة يومياً.,Keep the movement slow. Do not pull into pain.,حافظ على بطء الحركة. لا تسحب إلى حد الألم.,,,,,published,PLACEHOLDER,2026-09-06
lb_ex_cat_camel,lower_back,Cat–Camel,تمرين القطة والجمل,Moves the whole spine through its range without loading it.,يحرك العمود الفقري بالكامل ضمن مداه دون تحميل عليه.,Start on your hands and knees.|Slowly round your back upwards.|Then slowly let it sag downwards. Move smoothly between the two.,ابدأ على يديك وركبتيك.|قوّس ظهرك ببطء إلى الأعلى.|ثم أنزله ببطء إلى الأسفل. تحرك بسلاسة بين الوضعين.,10 slow cycles. Twice a day.,١٠ دورات بطيئة. مرتين يومياً.,Move only as far as is comfortable in each direction.,تحرك فقط ضمن المدى المريح في كل اتجاه.,,teen|adult|older_adult,lb_ex_cat_camel,,published,PLACEHOLDER,2026-09-06
lb_ex_sit_stand,lower_back,Sit to Stand,الجلوس والوقوف,Builds confidence with the movement most used in daily life.,يبني الثقة بالحركة الأكثر استخداماً في الحياة اليومية.,Sit towards the front of a stable chair.|Stand up without using your hands if you can.|Sit back down slowly and with control.,اجلس نحو مقدمة كرسي ثابت.|قف دون استخدام يديك إن أمكن.|اجلس ببطء وتحكم.,8 repetitions. Twice a day.,٨ تكرارات. مرتين يومياً.,Have a stable surface nearby to hold if you feel unsteady.,احرص على وجود سطح ثابت قريب للإمساك به إذا شعرت بعدم الاتزان.,,,lb_ex_sit_stand,,published,PLACEHOLDER,2026-09-06
nk_ex_chin_tuck,neck,Chin Tuck,سحب الذقن,"A small, slow way to lengthen the neck without looking down.",طريقة صغيرة وبطيئة لإطالة الرقبة دون النظر إلى الأسفل.,"Sit tall with your shoulders relaxed.|Gently draw your chin straight back, as if making a double chin.|Hold, then return to a comfortable rest.",اجلس باستقامة مع استرخاء الكتفين.|اسحب ذقنك برفق إلى الخلف مباشرة.|اثبت، ثم عد إلى وضع مريح.,8 slow repetitions. Twice a day.,٨ تكرارات بطيئة. مرتين يومياً.,Stop if this increases pain or sends symptoms into an arm.,توقف إذا زاد الألم أو امتدت الأعراض إلى الذراع.,,,nk_ex_chin_tuck,,published,PLACEHOLDER,2026-09-06
nk_ex_neck_turn,neck,Easy Neck Turn,التفاف الرقبة بلطف,Moves the neck through a comfortable turning range.,يحرك الرقبة ضمن مدى التفاف مريح.,"Sit or stand tall.|Slowly turn to look over one shoulder.|Return through centre, then the other side.",اجلس أو قف باستقامة.|استدر ببطء للنظر فوق أحد الكتفين.|عد عبر الوسط ثم الجانب الآخر.,6 turns each side. Once or twice a day.,٦ التفافات لكل جانب. مرة أو مرتين يومياً.,Stay in a range that feels easy. Do not force the end.,ابقِ ضمن مدى سهل. لا تجبر نهاية الحركة.,,,nk_ex_neck_turn,,published,PLACEHOLDER,2026-09-06
sh_ex_blade_squeeze,shoulder,Shoulder Blade Squeeze,ضم لوحي الكتف,Gently brings the shoulder blades together without shrugging.,يقرّب لوحي الكتف بلطف دون رفع الكتفين.,"Sit or stand with arms relaxed.|Draw the shoulder blades slightly together and down.|Hold, then release.",اجلس أو قف مع استرخاء الذراعين.|قرّب لوحي الكتف قليلاً إلى الداخل والأسفل.|اثبت، ثم أرخِ.,"Hold 5 seconds, 10 times. Twice a day.",ثبات ٥ ثوانٍ، ١٠ مرات. مرتين يومياً.,Keep the movement small. Do not pinch into pain.,أبقِ الحركة صغيرة. لا تضغط إلى حد الألم.,,,sh_ex_blade_squeeze,,published,PLACEHOLDER,2026-09-06
hp_ex_bridge,hip,Gentle Bridge,الجسر اللطيف,Lifts the hips a short way to move the back of the hips.,يرفع الوركين مسافة قصيرة لتحريك خلف الورك.,Lie on your back with knees bent and feet flat.|Press through the feet and lift the hips a little.|Lower slowly.,استلقِ على ظهرك مع ثني الركبتين.|اضغط بالقدمين وارفع الوركين قليلاً.|أنزل ببطء.,8 repetitions. Once a day.,٨ تكرارات. مرة يومياً.,Stop if this increases pain in the back or down a leg.,توقف إذا زاد ألم الظهر أو الساق.,,,hp_ex_bridge,,published,PLACEHOLDER,2026-09-06
kn_ex_bend,knee,Supported Knee Bend,ثني الركبة مع دعم,"Bends the knee through a small, supported range.",يثني الركبة ضمن مدى صغير مع دعم.,"Stand beside a stable chair and hold on.|Bend one knee a little, keeping the movement slow.|Straighten, then switch sides.",قف بجانب كرسي ثابت وأمسك به.|اثنِ ركبة واحدة قليلاً ببطء.|مدّها ثم بدّل الجانب.,10 each side. Once a day.,١٠ لكل جانب. مرة يومياً.,Hold the chair. Stay in a comfortable range.,أمسك الكرسي. ابقَ ضمن مدى مريح.,,,kn_ex_bend,,published,PLACEHOLDER,2026-09-06
kn_ex_ankle,knee,Ankle Circles,دوائر الكاحل,Keeps the lower leg moving while you rest the knee.,يبقي أسفل الساق متحركاً أثناء راحة الركبة.,"Sit with the back supported.|Lift one foot a little and slowly circle the ankle.|Change direction, then switch sides.",اجلس مع دعم الظهر.|ارفع قدماً قليلاً وحرّك الكاحل بدوائر بطيئة.|غيّر الاتجاه ثم بدّل الجانب.,"10 circles each way, each side.",١٠ دوائر لكل اتجاه ولكل جانب.,Move slowly. Stop if the movement increases pain.,تحرك ببطء. توقف إذا زاد الألم.,,,kn_ex_ankle,,published,PLACEHOLDER,2026-09-06
