option_id,question_id,key,label_en,label_ar,order,red_flag,escalation_message_id
lb_q1_a,lb_q1,bending_forward,Bending forward,الانحناء للأمام,1,no,
lb_q1_b,lb_q1,leaning_back,Leaning backward,الميل للخلف,2,no,
lb_q1_c,lb_q1,twisting,Twisting side to side,الالتفاف يميناً ويساراً,3,no,
lb_q1_d,lb_q1,numbness_weakness,"I have numbness, tingling or weakness in a leg",أشعر بخدر أو تنميل أو ضعف في الساق,4,yes,esc_see_someone
g_onset_a,g_onset,new_after_activity,"New, after an activity",جديد، بعد نشاط,1,no,
g_onset_b,g_onset,long_standing,It has been around for a while,موجود منذ فترة,2,no,
g_dur_a,g_duration,days,A few days,بضعة أيام,1,no,
g_dur_b,g_duration,weeks,A few weeks,بضعة أسابيع,2,no,
g_dur_c,g_duration,months,Months or longer,أشهر أو أكثر,3,no,
g_irr_a,g_irritability,quick,It settles quickly,يهدأ بسرعة,1,no,
g_irr_b,g_irritability,hours,An hour or two,ساعة أو ساعتان,2,no,
g_irr_c,g_irritability,day,The rest of the day,بقية اليوم,3,no,
g_pat_a,g_pattern,morning,Worse in the morning,أسوأ في الصباح,1,no,
g_pat_b,g_pattern,sitting,Worse with sitting,أسوأ مع الجلوس,2,no,
g_pat_c,g_pattern,activity,Worse with activity,أسوأ مع النشاط,3,no,
lb_q2_a,lb_q2,mornings,In the morning,في الصباح,1,no,
lb_q2_b,lb_q2,after_sitting,After sitting a long time,بعد الجلوس لفترة طويلة,2,no,
lb_q2_c,lb_q2,during_activity,During or after activity,أثناء النشاط أو بعده,3,no,
lb_q2_d,lb_q2,night_pain,At night — it wakes me up,في الليل — يوقظني من النوم,4,yes,esc_see_someone
